    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     2.44     1.788     1.973     1.103     0.413     0.378     0.065       13.671
     2.45     1.789     1.973     1.103     0.413     0.378     0.065       13.674
     2.46     1.789     1.974     1.103     0.413     0.378     0.065       13.677
     2.47     1.789     1.974     1.103     0.413     0.378     0.065       13.680
     2.48     1.789     1.974     1.104     0.413     0.378     0.065       13.684
     2.49     1.789     1.974     1.104     0.413     0.378     0.065       13.687
     2.50     1.789     1.974     1.104     0.413     0.378     0.065       13.690
     2.51     1.789     1.974     1.104     0.413     0.378     0.065       13.693
     2.52     1.789     1.975     1.104     0.413     0.378     0.065       13.696
     2.53     1.789     1.975     1.104     0.413     0.379     0.065       13.699
     2.54     1.789     1.975     1.104     0.413     0.379     0.065       13.702
     2.55     1.789     1.975     1.104     0.413     0.379     0.065       13.706
     2.56     1.789     1.975     1.104     0.412     0.379     0.065       13.708
     2.57     1.790     1.976     1.104     0.412     0.379     0.065       13.711
     2.58     1.790     1.976     1.104     0.412     0.379     0.065       13.714
     2.59     1.790     1.976     1.104     0.412     0.379     0.065       13.717
     2.60     1.790     1.977     1.104     0.412     0.379     0.065       13.720
     2.61     1.790     1.977     1.104     0.412     0.379     0.065       13.723
     2.62     1.790     1.977     1.104     0.412     0.379     0.065       13.726
     2.63     1.791     1.977     1.104     0.412     0.379     0.065       13.729
     2.64     1.791     1.978     1.104     0.412     0.379     0.065       13.733
     2.65     1.791     1.978     1.104     0.412     0.379     0.065       13.736
     2.66     1.791     1.978     1.105     0.412     0.379     0.065       13.739
     2.67     1.791     1.978     1.105     0.412     0.379     0.065       13.742
     2.68     1.791     1.978     1.105     0.412     0.379     0.065       13.745
     2.69     1.791     1.979     1.105     0.412     0.379     0.065       13.749
     2.70     1.791     1.979     1.105     0.412     0.379     0.065       13.752
     2.71     1.791     1.979     1.105     0.412     0.379     0.065       13.755
     2.72     1.791     1.979     1.105     0.412     0.379     0.065       13.758
     2.73     1.791     1.979     1.105     0.412     0.379     0.065       13.762
     2.74     1.792     1.980     1.105     0.411     0.379     0.065       13.765
     2.75     1.792     1.980     1.105     0.411     0.379     0.065       13.768
     2.76     1.792     1.980     1.105     0.411     0.379     0.065       13.771
     2.77     1.792     1.981     1.105     0.411     0.379     0.065       13.774
     2.78     1.792     1.981     1.105     0.411     0.379     0.065       13.777
     2.79     1.793     1.981     1.105     0.411     0.379     0.065       13.780
     2.80     1.793     1.981     1.105     0.411     0.379     0.065       13.783
     2.81     1.793     1.982     1.105     0.411     0.379     0.065       13.786
     2.82     1.793     1.982     1.105     0.411     0.379     0.065       13.790
     2.83     1.793     1.982     1.105     0.411     0.379     0.065       13.793
     2.84     1.793     1.982     1.106     0.411     0.379     0.065       13.796
     2.85     1.793     1.983     1.106     0.411     0.379     0.065       13.799
     2.86     1.793     1.983     1.106     0.411     0.379     0.065       13.803
     2.87     1.793     1.983     1.106     0.411     0.379     0.065       13.806
     2.88     1.794     1.983     1.106     0.411     0.379     0.065       13.809
     2.89     1.794     1.984     1.106     0.411     0.380     0.065       13.813
     2.90     1.794     1.984     1.106     0.411     0.380     0.065       13.816
     2.91     1.794     1.984     1.106     0.410     0.380     0.065       13.820
     2.92     1.794     1.984     1.106     0.410     0.380     0.065       13.823
     2.93     1.794     1.984     1.106     0.410     0.380     0.065       13.826
     2.94     1.794     1.985     1.106     0.410     0.380     0.065       13.830
     2.95     1.794     1.985     1.106     0.410     0.380     0.065       13.833
     2.96     1.795     1.985     1.106     0.410     0.380     0.065       13.836
     2.97     1.795     1.986     1.106     0.410     0.380     0.065       13.839
     2.98     1.795     1.986     1.106     0.410     0.380     0.065       13.842
     2.99     1.795     1.986     1.106     0.410     0.380     0.065       13.845
     3.00     1.795     1.987     1.106     0.410     0.380     0.065       13.848
     3.01     1.796     1.987     1.107     0.410     0.380     0.065       13.852
     3.02     1.796     1.987     1.107     0.410     0.380     0.065       13.855
     3.03     1.796     1.987     1.107     0.410     0.380     0.065       13.858
     3.04     1.796     1.988     1.107     0.410     0.380     0.065       13.862
     3.05     1.796     1.988     1.107     0.410     0.380     0.065       13.865
     3.06     1.796     1.988     1.107     0.410     0.380     0.065       13.868
     3.07     1.796     1.988     1.107     0.409     0.380     0.065       13.872
     3.08     1.796     1.989     1.107     0.409     0.380     0.065       13.875
     3.09     1.797     1.989     1.107     0.409     0.380     0.065       13.879
     3.10     1.797     1.989     1.107     0.409     0.380     0.065       13.882
     3.11     1.797     1.989     1.107     0.409     0.380     0.065       13.886
     3.12     1.797     1.990     1.107     0.409     0.380     0.065       13.889
     3.13     1.797     1.990     1.107     0.409     0.380     0.065       13.893
     3.14     1.797     1.990     1.107     0.409     0.380     0.065       13.896
     3.15     1.797     1.990     1.107     0.409     0.380     0.065       13.900
     3.16     1.798     1.991     1.107     0.409     0.380     0.065       13.903
     3.17     1.798     1.991     1.108     0.409     0.380     0.065       13.906
     3.18     1.798     1.991     1.108     0.409     0.380     0.065       13.909
     3.19     1.798     1.992     1.108     0.409     0.380     0.065       13.912
     3.20     1.798     1.992     1.108     0.409     0.380     0.065       13.915
     3.21     1.799     1.992     1.108     0.409     0.380     0.065       13.919
     3.22     1.799     1.993     1.108     0.408     0.381     0.065       13.922
