    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     8.37     0.157     0.198     1.266     0.934     0.423     0.070       17.388
     8.38     0.156     0.197     1.263     0.935     0.422     0.070       17.300
     8.39     0.156     0.197     1.261     0.935     0.421     0.070       17.233
     8.40     0.156     0.196     1.257     0.935     0.420     0.070       17.142
     8.41     0.155     0.195     1.257     0.935     0.420     0.070       17.148
     8.42     0.155     0.194     1.256     0.936     0.420     0.070       17.126
     8.43     0.154     0.194     1.255     0.936     0.419     0.069       17.071
     8.44     0.154     0.193     1.254     0.936     0.419     0.069       17.042
     8.45     0.154     0.192     1.253     0.936     0.419     0.069       17.019
     8.46     0.153     0.192     1.251     0.936     0.418     0.069       16.965
     8.47     0.153     0.191     1.250     0.937     0.417     0.069       16.921
     8.48     0.152     0.190     1.250     0.937     0.417     0.069       16.919
     8.49     0.152     0.190     1.248     0.937     0.417     0.069       16.865
     8.50     0.152     0.189     1.244     0.937     0.416     0.069       16.762
     8.51     0.151     0.188     1.244     0.938     0.416     0.069       16.769
     8.52     0.151     0.187     1.242     0.938     0.415     0.069       16.697
     8.53     0.150     0.187     1.240     0.938     0.414     0.069       16.637
     8.54     0.150     0.186     1.237     0.938     0.413     0.069       16.542
     8.55     0.150     0.185     1.236     0.939     0.413     0.069       16.523
     8.56     0.149     0.184     1.236     0.939     0.413     0.069       16.521
     8.57     0.149     0.184     1.236     0.939     0.413     0.069       16.512
     8.58     0.149     0.183     1.233     0.939     0.412     0.068       16.433
     8.59     0.148     0.182     1.231     0.940     0.411     0.068       16.372
     8.60     0.148     0.182     1.230     0.940     0.411     0.068       16.347
     8.61     0.147     0.181     1.230     0.940     0.410     0.068       16.332
     8.62     0.147     0.180     1.227     0.940     0.410     0.068       16.256
     8.63     0.147     0.180     1.226     0.940     0.409     0.068       16.222
     8.64     0.146     0.179     1.224     0.941     0.409     0.068       16.155
     8.65     0.146     0.178     1.223     0.941     0.408     0.068       16.110
     8.66     0.145     0.178     1.223     0.941     0.408     0.068       16.113
     8.67     0.145     0.177     1.222     0.941     0.408     0.068       16.093
     8.68     0.145     0.176     1.219     0.942     0.407     0.068       15.988
     8.69     0.144     0.176     1.217     0.942     0.406     0.068       15.936
     8.70     0.144     0.175     1.217     0.942     0.406     0.068       15.924
     8.71     0.143     0.174     1.216     0.942     0.406     0.068       15.908
     8.72     0.143     0.174     1.216     0.942     0.406     0.068       15.909
     8.73     0.143     0.174     1.215     0.942     0.405     0.068       15.876
     8.74     0.142     0.173     1.213     0.943     0.404     0.067       15.797
     8.75     0.142     0.172     1.212     0.943     0.404     0.067       15.781
     8.76     0.142     0.171     1.211     0.943     0.404     0.067       15.743
     8.77     0.141     0.171     1.211     0.943     0.404     0.067       15.745
     8.78     0.141     0.170     1.209     0.944     0.403     0.067       15.691
     8.79     0.141     0.170     1.207     0.944     0.402     0.067       15.614
     8.80     0.140     0.169     1.204     0.944     0.402     0.067       15.530
     8.81     0.140     0.168     1.204     0.944     0.401     0.067       15.524
     8.82     0.139     0.168     1.203     0.944     0.401     0.067       15.488
     8.83     0.139     0.167     1.202     0.945     0.401     0.067       15.456
     8.84     0.139     0.166     1.200     0.945     0.400     0.067       15.406
     8.85     0.138     0.166     1.199     0.945     0.400     0.067       15.375
     8.86     0.138     0.165     1.198     0.945     0.399     0.067       15.335
     8.87     0.137     0.164     1.196     0.945     0.399     0.067       15.283
     8.88     0.137     0.164     1.194     0.946     0.398     0.067       15.228
     8.89     0.137     0.163     1.193     0.946     0.398     0.067       15.184
     8.90     0.136     0.163     1.192     0.946     0.397     0.067       15.161
     8.91     0.136     0.162     1.193     0.946     0.397     0.067       15.177
     8.92     0.136     0.162     1.194     0.946     0.398     0.067       15.217
     8.93     0.135     0.161     1.193     0.946     0.397     0.067       15.178
     8.94     0.135     0.160     1.189     0.947     0.396     0.066       15.061
     8.95     0.135     0.160     1.188     0.947     0.396     0.066       15.038
     8.96     0.134     0.159     1.187     0.947     0.396     0.066       15.012
     8.97     0.134     0.159     1.187     0.947     0.395     0.066       14.991
     8.98     0.133     0.158     1.185     0.948     0.395     0.066       14.943
     8.99     0.133     0.157     1.183     0.948     0.394     0.066       14.886
     9.00     0.133     0.157     1.181     0.948     0.393     0.066       14.825
     9.01     0.132     0.156     1.182     0.948     0.394     0.066       14.839
     9.02     0.132     0.155     1.178     0.948     0.392     0.066       14.740
